客户ID,姓名,性别,出生日期,年龄,年龄段,婚姻状况,家庭结构,子女数量,是否有老人,教育程度,职业类别,职业,年收入,收入段,所在省份,所在城市等级,所在区域,获客渠道,获客日期,持有保单数,总年缴保费,客户价值等级,风险等级,互动频次,活跃度等级,互动评分,续保倾向评分,增购倾向评分,投诉次数,理赔次数总计
CUST00000001,武娟莉,女,1987-06-06,38,中青,已婚,单身,0,0,大专,2,个体经营,17961.36,<5万,陕西,二线,西北,转介绍,2019-03-02,4,3535.25,大众,中风险,7,一般,37.72,0.7097,0.8,0,0
CUST00000002,万刚,男,1960-08-02,65,中老,已婚,二人世界,0,0,硕士,1,企业职员,40857.06,<5万,重庆,二线,西南,自然流量,2022-11-23,3,4830.0,核心,中高风险,6,一般,41.11,0.5227,0.8377,0,0
CUST00000003,郭艳,女,1969-12-14,56,中老,已婚,三代同堂,0,0,本科,2,服务业,39301.82,<5万,陕西,四线及以下,西北,广告投放,2025-01-28,3,4853.12,核心,高风险,6,沉睡,21.28,0.6106,0.8448,0,2
CUST00000004,崔雨,女,1999-01-30,27,青壮,未婚,单身,0,0,本科,0,学生,26325.38,<5万,四川,二线,西南,活动获客,2019-07-07,2,5747.43,核心,低风险,8,一般,35.91,0.5596,0.8564,0,2
CUST00000005,蔡哲超,男,1985-12-15,40,中青,已婚,三口之家,1,0,高中及以下,1,公务员,39138.86,<5万,甘肃,四线及以下,西北,转介绍,2018-06-18,1,2239.83,大众,低风险,5,一般,33.51,0.5644,0.7396,0,0
CUST00000006,董艺,女,1989-06-18,36,中青,已婚,三代同堂,2,0,高中及以下,1,金融从业,61523.64,5-10万,新疆,一线,西北,转介绍,2019-05-30,5,13863.619999999999,高净值,低风险,6,沉睡,19.09,0.6332,0.9398,0,0
CUST00000007,方莉若,女,1969-03-19,57,中老,已婚,二人世界,1,0,高中及以下,1,企业职员,26699.92,<5万,青海,三线,西北,自然流量,2022-09-03,2,2578.12,大众,中风险,4,活跃,56.12,0.6992,0.8193,0,3
CUST00000008,苏静,女,1986-09-27,39,中青,未婚,二人世界,0,1,本科,1,公务员,24636.68,<5万,黑龙江,四线及以下,东北,自然流量,2019-03-06,0,0.0,低价值,中低风险,6,沉睡,19.82,0.4698,0.7541,0,0
CUST00000009,杜健,男,1973-07-13,52,中年,丧偶,空巢,0,0,本科,1,金融从业,133700.53,10-20万,湖北,新一线,华中,自然流量,2025-03-01,1,2703.08,核心,中低风险,4,一般,30.82,0.633,0.8156,0,1
CUST00000010,牛刚哲,男,1979-09-03,46,中年,未婚,四口之家,2,0,本科,1,金融从业,103591.64,10-20万,海南,二线,华南,广告投放,2023-11-01,3,4061.82,高净值,低风险,5,一般,33.75,0.621,0.8403,0,2
CUST00000011,孙超,男,1994-07-20,31,青壮,未婚,四口之家,2,0,高中及以下,2,自由职业,59046.27,5-10万,河北,新一线,华北,广告投放,2024-07-05,1,1579.57,大众,中风险,4,一般,42.94,0.65,0.7536,0,0
CUST00000012,程婉梅,女,1980-06-25,45,中青,已婚,单身,0,1,硕士,0,学生,93352.93,5-10万,四川,三线,西南,代理人拓展,2019-11-22,0,0.0,低价值,低风险,7,沉睡,22.23,0.5528,0.8455,0,0
CUST00000013,冯燕月,女,2001-05-09,25,青年,未婚,单身,0,0,本科,1,金融从业,51613.43,5-10万,云南,二线,西南,自然流量,2024-11-09,1,1065.05,大众,中低风险,6,一般,35.58,0.6398,0.7753,0,1
CUST00000014,蔡彤燕,女,1972-03-12,54,中年,已婚,空巢,1,1,高中及以下,2,自由职业,36755.44,<5万,安徽,三线,华东,广告投放,2018-12-19,4,13761.2,高净值,中风险,7,一般,44.37,0.723,0.8564,0,5
CUST00000015,邓瑞,男,2003-04-08,23,青年,未婚,单身,0,0,高中及以下,1,企业职员,36865.23,<5万,天津,新一线,华北,广告投放,2024-07-19,3,5911.0599999999995,核心,中低风险,7,一般,44.64,0.7636,0.8696,0,1
CUST00000016,康毅斌,男,1984-11-09,41,中青,已婚,四口之家,2,1,高中及以下,1,公务员,46774.84,<5万,宁夏,新一线,西北,广告投放,2021-01-22,1,1591.19,大众,中低风险,11,沉睡,16.66,0.6115,0.7476,0,0
CUST00000017,韩兰艺,女,1985-01-06,41,中青,已婚,三代同堂,2,0,大专,1,公务员,75585.3,5-10万,山西,一线,华北,企业合作,2021-11-06,1,3853.22,核心,中低风险,7,沉睡,16.78,0.4262,0.6732,0,3
CUST00000018,陈勇,男,1973-05-23,53,中年,已婚,单身,0,0,大专,1,公务员,36953.96,<5万,西藏,二线,西南,自然流量,2025-09-10,4,5879.45,核心,低风险,3,一般,37.4,0.4795,0.8338,0,4
CUST00000019,尹霞,女,1985-11-13,40,中青,已婚,三口之家,1,0,大专,1,金融从业,21991.86,<5万,黑龙江,三线,东北,自然流量,2021-08-11,1,998.64,低价值,低风险,7,活跃,60.34,0.6413,0.7328,0,0
CUST00000020,薛雅,女,1997-04-25,29,青壮,离异,三口之家,1,0,高中及以下,1,公务员,24919.61,<5万,辽宁,四线及以下,东北,活动获客,2024-02-24,1,771.74,低价值,低风险,8,沉睡,23.89,0.6071,0.741,1,0
CUST00000021,金若,女,1948-01-16,78,老年,丧偶,独居老人,0,0,本科,2,农民,104898.57,10-20万,江苏,三线,华东,转介绍,2018-03-20,4,5525.6,高净值,高风险,6,沉睡,17.45,0.5724,0.8569,0,4
CUST00000022,龚瀚晨,男,1969-01-25,57,中老,已婚,二人世界,1,0,高中及以下,1,医生,81547.89,5-10万,四川,二线,西南,自然流量,2019-11-09,3,2929.8199999999997,核心,中高风险,5,一般,47.28,0.7038,0.9033,0,2
